Category,Item_Code,Price,Quantity
46,mm,0.523,383
46,mm,0.602,2188
46,ub,0.004,213
46,ub,0.018,4
46,ub,0.02,90
46,ub,0.094,1
46,ub,0.23,6
46,ub,0.243,6
46,ub,0.27,6
46,ub,0.334,7
46,ub,0.4,322
46,ub,0.451,2141
46,nz,0.006,772
46,nz,0.018,103
46,nz,0.071,24
46,nz,0.112,568
46,nz,0.15,568
46,nz,0.667,17
46,nz,0.675,385
46,nz,1.103,1747
46,tw,0.018,272
46,tw,0.03,6
46,tw,0.031,276
46,tw,0.042,276
46,tw,0.12,657
46,tw,0.267,17
46,tw,0.422,259
46,tw,0.468,2077
46,kt,0.006,584
46,kt,0.018,94
46,kt,0.267,24
46,kt,0.343,568
46,kt,0.434,568
46,kt,1.125,17
46,kt,1.168,205
46,kt,1.51,2147
46,nf,0.006,811
46,nf,0.018,103
46,nf,0.05,89
46,nf,0.112,568
46,nf,0.119,24
46,nf,0.142,568
46,nf,0.351,340
46,nf,0.392,1684
46,ts,0.018,1
46,ts,0.13,387
46,ts,0.408,6
46,ts,0.582,643
46,ts,0.584,550
46,ts,0.701,550
46,ts,0.8,1
46,ts,0.908,380
46,ts,1.097,1466
46,mt,0.015,300
46,mt,0.018,98
46,mt,0.027,571
46,mt,0.185,656
46,mt,0.267,17
46,mt,0.431,205
46,mt,0.468,1327
46,me,0.006,736
46,me,0.018,103
46,me,0.022,90
46,me,0.062,568
46,me,0.066,24
46,me,0.083,568
46,me,0.259,311
46,me,0.282,1937
46,za,0.006,672
46,za,0.018,103
46,za,0.059,568
46,za,0.066,24
46,za,0.078,568
46,za,0.19,354
46,za,0.235,69
46,wb,0.004,150
46,wb,0.018,6
46,wb,0.214,486
46,wb,0.284,486
46,wb,0.331,12
46,wb,0.834,266
46,wb,1,2
46,wb,1.268,1742
46,kc,0.006,847
46,kc,0.018,78
46,kc,0.164,562
46,kc,0.174,18
46,kc,0.208,562
46,kc,1,14
46,kc,1.183,266
46,kc,1.268,1694
46,kf,0.006,693
46,kf,0.016,90
46,kf,0.018,103
46,kf,0.046,568
46,kf,0.048,24
46,kf,0.058,568
46,kf,0.2,17
46,kf,0.304,310
46,kf,0.369,1844
46,jq,0.018,103
46,jq,0.442,90
46,jq,0.444,24
46,jq,0.702,568
46,jq,0.935,568
46,jq,1.326,17
46,jq,1.439,289
46,jq,1.797,139
46,ij,0.006,816
46,ij,0.018,103
46,ij,0.146,90
46,ij,0.2,24
46,ij,0.316,568
46,ij,0.422,568
46,ij,0.867,17
46,ij,1.056,334
46,ij,1.097,481
46,nc,0.006,663
46,nc,0.018,103
46,nc,0.224,24
46,nc,0.354,568
46,nc,0.471,568
46,nc,1.38,153
46,bl,0.006,680
46,bl,0.018,103
46,bl,0.035,90
46,bl,0.055,568
46,bl,0.059,24
46,bl,0.074,568
46,bl,0.182,249
46,bl,0.204,1621
46,tn,0.018,67
46,tn,0.028,556
46,tn,0.031,18
46,tn,0.039,1290
46,tn,0.2,17
46,tn,0.234,471
46,tn,0.324,313
46,tn,0.369,1301
46,tx,0.006,677
46,tx,0.018,77
46,tx,0.06,300
46,tx,0.1,544
46,tx,0.106,12
46,tx,0.132,544
46,tx,0.4,17
46,tx,0.506,342
46,tx,0.602,2105
46,dr,0.006,626
46,dr,0.018,41
46,dr,0.054,592
46,dr,0.075,568
46,dr,1.134,17
46,dr,1.369,375
46,dr,1.51,1787
46,pf,0.018,99
46,pf,0.056,765
46,pf,0.123,18
46,pf,0.166,526
46,pf,0.208,299
46,pf,0.215,526
46,pf,0.226,1792
46,fi,0.018,103
46,fi,0.234,24
46,fi,0.369,568
46,fi,0.49,568
46,fi,1,16
46,fi,1.268,1390
46,fu,0.006,713
46,fu,0.018,71
46,fu,0.042,36
46,fu,0.056,36
46,fu,0.2,17
46,fu,0.31,371
46,fu,0.369,1710
46,lz,0.018,103
46,lz,0.32,24
46,lz,0.506,568
46,lz,0.675,568
46,lz,1.067,17
46,lz,1.51,181
46,yi,0.018,103
46,yi,0.132,90
46,yi,0.158,737
46,yi,0.182,24
46,yi,0.287,568
46,yi,0.383,568
46,yi,0.734,17
46,yi,0.971,317
46,yi,1.103,1414
46,qf,0.006,527
46,qf,0.018,102
46,qf,0.06,556
46,qf,0.064,12
46,qf,0.076,556
46,qf,0.2,17
46,qf,0.331,382
46,qf,0.369,1613
46,mo,0.018,95
46,mo,0.047,692
46,mo,0.084,556
46,mo,0.09,12
46,mo,0.112,556
46,mo,0.534,17
46,mo,0.762,313
46,mo,0.819,1821
46,mw,0.006,627
46,mw,0.018,103
46,mw,0.174,90
46,mw,0.32,24
46,mw,0.506,568
46,mw,0.675,568
46,mw,1.067,12
46,mw,1.352,380
46,mw,1.51,338
46,et,0.006,742
46,et,0.01,90
46,et,0.018,103
46,et,0.068,568
46,et,0.072,24
46,et,0.087,568
46,et,0.4,17
46,et,0.544,386
46,et,0.602,1424
46,ads,0.014,2357
46,ads,1.25,161
46,agb,0.006,509
46,agb,0.018,103
46,agb,0.068,24
46,agb,0.107,568
46,agb,0.142,568
46,agb,0.251,763
46,cn,0.018,98
46,cn,0.052,90
46,cn,0.1,568
46,cn,0.107,24
46,cn,0.134,568
46,cn,0.17,526
46,cn,0.267,17
46,cn,0.375,326
46,cn,0.392,1580
46,df,0.018,103
46,df,0.05,568
46,df,0.052,24
46,df,0.066,568
46,df,0.2,17
46,df,0.328,227
46,df,0.369,1409
46,dp,0.006,686
46,dp,0.008,90
46,dp,0.018,671
46,dp,0.02,24
46,dp,0.026,568
46,dp,0.134,17
46,dp,0.314,261
46,dp,0.369,3269
